"","WTB1R1","WTB1R2","WTB1R3","WTB1R4","DIG1R1","DIG1R2","DIG1R3","DIG1R4","SAN1R1","SAN1R2","SAN1R3","SAN1R4","TOS8R1","TOS8R2","TOS8R3","TOS8R4","ROF1R1","ROF1R2","ROF1R3","ROF1R4","SFL1R1","SFL1R2","SFL1R3","SFL1R4","HEK2R1","HEK2R2","HEK2R3","HEK2R4"
"YOL138C",5.91663086559379,5.76230421166032,5.69619496150195,6.29362983234038,6.01093401227643,5.55645400926598,6.12059890556326,5.96069368473736,6.79080835709805,8.01261214840996,7.8339386522062,6.73644830958549,5.84432726724537,5.77574441354748,5.48075790727799,5.76221160501239,6.97973893640979,6.70589823913381,7.87539891271402,8.20445483059873,7.73246518435204,7.60811931090122,7.31579291299271,7.56025347419735,7.15335255800717,7.64555238073042,7.41800207821114,7.58044984939529
"YDR395W",29.8438121298045,30.5662171182731,31.4762020551118,30.0522605806271,33.9062092106157,35.1768428195344,32.9620291339811,35.5452015895697,31.4483480507942,31.7407436183685,31.4269051104909,23.7540300781891,29.4899372097586,26.2990156815672,28.3615881672547,31.394622578743,29.1658863367028,24.7911517496161,28.7146628176336,30.1474646191977,35.0071691728599,33.823421592662,31.2207148031998,34.4231930240884,27.9570283559253,28.2665234172043,31.9541887053016,26.3033554366537
"SUT2277.1",7.87980407194041,5.9612775885641,7.23839081979503,6.03528869511767,6.1452565600368,6.34756498825631,4.32877139987662,5.43140387206774,7.08761528117851,8.8198978836633,8.30531586933039,10.1487121990898,5.20127362872171,6.71086493764565,6.35454063303775,7.4918985699273,8.16161166366129,5.83502824492832,6.79421914769714,11.7968339814252,5.9836024872283,5.09492353008698,6.17963296191269,5.07574994226546,9.01373376145882,6.3926412686887,8.1880613415683,6.08056824482297
"YPR165W",829.32505818879,824.106347716361,804.148357903757,824.232032561004,652.694527304353,671.973845679852,640.744055503166,644.239216952458,685.348166526607,726.784085330199,708.720287516193,715.965113064873,748.549963066867,764.090560067079,826.925334108864,822.604517026771,844.195654683848,921.58135087036,831.15947573495,770.726486786445,689.821319773858,772.882480972212,741.855811037379,801.78050013934,609.722105588335,651.883674262244,678.412006358711,687.30607334792
"YPL015C",117.591089526571,124.983109621428,109.46676060837,116.313237592592,97.6203185947745,116.834612334875,108.28981898155,114.131967460691,114.625501327053,109.078485698098,113.946768467955,118.450279211608,98.2366947491722,95.3673893024364,91.4238938895335,90.1225172943908,105.075050720153,111.158917962042,118.308400149456,119.432875379916,109.277012306703,108.03814173723,116.369758914928,118.103343628691,132.738366814676,137.006484516301,139.344705581026,154.627176838943
"YCL050C",108.056518801877,100.621368776028,111.187540144044,102.972687898583,138.344611191636,151.78959754526,137.895567187063,144.003421846213,114.403355353805,111.367188857125,103.064155262524,84.8213446051379,183.328405867422,162.234812514326,173.093932210129,170.068424213924,105.484183872475,100.787881117269,107.493080718397,102.866112736582,154.107646902264,146.202153472061,133.744670460769,147.613597354773,123.092347064799,122.02224241953,131.39308960583,127.229281209611
"YMR193W",81.2695174720314,82.7060133908893,94.07326807746,85.1568619401203,188.786710538067,140.081917568276,149.682452491873,144.814135842561,121.632663145727,139.350413634905,132.436117916349,144.795285733967,122.900589993979,132.960630994319,145.382685948683,155.329137724895,137.150789565541,136.610627491058,147.61614274351,151.800100932153,149.684762487907,141.761039316003,137.479039385875,139.011529950333,127.673560377047,132.402543033471,131.964061166385,121.507817535665
"YLR031W",6.60942171611559,9.73011922245756,6.62336414883205,8.08649792483087,6.1452565600368,6.36671299727066,3.60730949989718,3.3724403127218,5.61236504165719,4.8147838268661,3.10894176926806,5.5308725652479,6.69281533107573,6.11872979608868,6.62530348806537,5.14149901857756,5.44107444244086,5.43458513008029,8.61892922182614,4.41592715882226,4.66131195348469,4.57236727059088,3.54305091636096,5.06670225965892,3.55511248198173,3.62667491583124,2.07025286757919,3.46048599298868
"YGR053C",10.81400689233,11.1391021556391,11.3117556067366,12.467263032168,18.1688982097802,14.120982422412,14.1116931492457,12.5054036725816,13.9195875229176,14.583369886867,13.9884134653628,14.0277007888551,14.2489409965238,13.9061409007199,15.6826804084585,14.2187793281367,14.330717193471,15.6790701739821,16.1881043073066,14.3768144961422,17.4654606922444,16.3816327388247,16.8253333422493,19.7390275532546,17.0883241167368,15.791524636346,18.3052841581021,19.0661811884825
"8F-144",21.0896847503184,23.1876875082501,23.8092442514946,20.7681201417167,22.4970669966016,21.645027177256,18.4006923070465,17.1194880194774,18.2919724035147,23.1278868006155,24.987996878151,13.7758080787422,15.200291475104,14.1467996674502,14.7674451164823,15.9882314907124,18.4086824590468,17.9065880584206,18.753759477082,28.4376886460749,20.819406386204,22.2524277814009,23.7507356380664,23.7241939993375,22.2091353357819,21.2731775215764,27.2165014209194,28.7291293755456
"YCR101C",5.52590995937533,4.97139971202067,6.34512856471103,5.03856827916624,7.38774012682019,7.53311972124575,7.80598121289227,9.06882856599045,5.06595172384922,5.90403000409155,7.14801775639091,9.83825925439462,6.38316595145948,7.3953976088809,6.17023491480336,5.5541033114033,5.23294591185569,5.18802033161318,8.37417417718591,5.01383350758811,7.59843578782327,8.24525245516388,8.88666869185618,8.41335600630522,6.46641934837398,8.24871962611853,8.15980228603225,8.52830154556227
"YER087C-B",314.518224555236,321.108588135109,322.699478281424,335.051435323333,280.164467749147,335.580681295265,323.180161942596,367.910355992808,360.585438079018,362.315383443859,370.070199077191,355.834276590695,405.122294108593,420.978756329418,423.810266941838,461.534048648192,359.471466326801,404.702561405269,420.20471837163,446.605709497596,437.332952221045,389.642815721558,411.947257347655,395.018370674167,364.762250533816,362.157248163174,374.477030749341,377.901747475294
"11R-97",5.42357829346097,5.98827692584308,5.76349177961252,4.43394008566629,4.98672458560363,5.90665069052224,6.28815153260766,6.34817999619332,5.83062368216608,8.2234703628418,5.82431076446667,6.59372694709427,5.24331488869886,4.87423933312605,5.22756013615285,5.4790478612492,4.98765157223745,5.26109104050914,7.50788029678737,6.26729188448514,7.25820731971178,6.18393934137291,6.91185342699925,6.95719823598317,9.44533163245638,8.84645293235901,8.61312463525627,8.00828315863775
